type,seed,num_inserts,seg_size
in_place,1,0,5881
in_place,1,500,5887
in_place,1,1000,5628
in_place,1,1500,5698
in_place,1,2000,5703
in_place,1,2500,5645
in_place,1,3000,5651
in_place,1,3500,5532
in_place,1,4000,5726
in_place,1,4500,5604
in_place,1,5000,5429
in_place,1,5500,5554
in_place,1,6000,5621
in_place,1,6500,5888
in_place,1,7000,5760
in_place,1,7500,5766
in_place,1,8000,5707
in_place,1,8500,5587
in_place,1,9000,5472
in_place,1,9500,5477
in_place,1,10000,5483
in_place,1,10500,5373
in_place,1,11000,5553
in_place,1,11500,5383
in_place,1,12000,5223
in_place,1,12500,5124
in_place,1,13000,5078
in_place,1,13500,5033
in_place,1,14000,4894
in_place,1,14500,5093
in_place,1,15000,5048
in_place,1,15500,5053
in_place,1,16000,5264
in_place,1,16500,5164
in_place,1,17000,5384
in_place,1,17500,5390
in_place,1,18000,5028
in_place,1,18500,4985
in_place,1,19000,4849
in_place,1,19500,4809
in_place,1,20000,4951
in_place,1,20500,4956
in_place,1,21000,5009
in_place,1,21500,5214
in_place,1,22000,5735
in_place,1,22500,5557
in_place,1,23000,5623
in_place,1,23500,5509
in_place,1,24000,5239
in_place,1,24500,5351
in_place,1,25000,5584
in_place,1,25500,5530
in_place,1,26000,5716
in_place,1,26500,5660
in_place,1,27000,5488
in_place,1,27500,5171
in_place,1,28000,5279
in_place,1,28500,5392
in_place,1,29000,5453
in_place,1,29500,5818
in_place,1,30000,5520
in_place,1,30500,5412
in_place,1,31000,5309
in_place,1,31500,4875
in_place,1,32000,4880
in_place,1,32500,4840
in_place,1,33000,4516
in_place,1,33500,4559
in_place,1,34000,4725
in_place,1,34500,4814
in_place,1,35000,4863
in_place,1,35500,5099
in_place,1,36000,5203
in_place,1,36500,5311
in_place,1,37000,5213
in_place,1,37500,4976
in_place,1,38000,4980
in_place,1,38500,5128
in_place,1,39000,5182
in_place,1,39500,5340
in_place,1,40000,5345
in_place,1,40500,5514
in_place,1,41000,5464
in_place,1,41500,5308
in_place,1,42000,5529
in_place,1,42500,5592
in_place,1,43000,5655
in_place,1,43500,5489
in_place,1,44000,5332
in_place,1,44500,5390
in_place,1,45000,5290
in_place,1,45500,5454
in_place,1,46000,5628
in_place,1,46500,5692
in_place,1,47000,5524
in_place,1,47500,5263
in_place,1,48000,5319
in_place,1,48500,5125
in_place,1,49000,5227
in_place,1,49500,5283
in_place,1,50000,5444
in_place,1,50500,5396
in_place,1,51000,5509
in_place,1,51500,5514
in_place,1,52000,5411
in_place,1,52500,5469
in_place,1,53000,5420
in_place,1,53500,5321
in_place,1,54000,5430
in_place,1,54500,5331
in_place,1,55000,5440
in_place,1,55500,5499
in_place,1,56000,5504
in_place,1,56500,5620
in_place,1,57000,5625
in_place,1,57500,5630
in_place,1,58000,5469
in_place,1,58500,5421
in_place,1,59000,5081
in_place,1,59500,5085
in_place,1,60000,5184
in_place,1,60500,5094
in_place,1,61000,5099
in_place,1,61500,5057
in_place,1,62000,5251
in_place,1,62500,5408
in_place,1,63000,5310
in_place,1,63500,5315
in_place,1,64000,5035
in_place,1,64500,4994
in_place,1,65000,5044
in_place,1,65500,5140
in_place,1,66000,5289
in_place,1,66500,5394
in_place,1,67000,5451
in_place,1,67500,5509
in_place,1,68000,5408
in_place,1,68500,5362
in_place,1,69000,5418
in_place,1,69500,5423
in_place,1,70000,5533
in_place,1,70500,5484
in_place,1,71000,5437
in_place,1,71500,5547
in_place,1,72000,5499
in_place,1,72500,5300
in_place,1,73000,5354
in_place,1,73500,5074
in_place,1,74000,4990
in_place,1,74500,5222
in_place,1,75000,5423
in_place,1,75500,5328
in_place,1,76000,5142
in_place,1,76500,5101
in_place,1,77000,4848
in_place,1,77500,4811
in_place,1,78000,4737
in_place,1,78500,4664
in_place,1,79000,4706
in_place,1,79500,4869
in_place,1,80000,5042
in_place,1,80500,5136
in_place,1,81000,5329
in_place,1,81500,5012
in_place,1,82000,4809
in_place,1,82500,4853
in_place,1,83000,4778
in_place,1,83500,4558
in_place,1,84000,4634
in_place,1,84500,4495
in_place,1,85000,4465
in_place,1,85500,4368
in_place,1,86000,4372
in_place,1,86500,4442
in_place,1,87000,4380
in_place,1,87500,4351
in_place,1,88000,4420
in_place,1,88500,4457
in_place,1,89000,4601
in_place,1,89500,4604
in_place,1,90000,4719
in_place,1,90500,4612
in_place,1,91000,4616
in_place,1,91500,4549
in_place,1,92000,4660
in_place,1,92500,4739
in_place,1,93000,4781
in_place,1,93500,4864
in_place,1,94000,4604
in_place,1,94500,4643
in_place,1,95000,4576
in_place,1,95500,4510
in_place,1,96000,4729
in_place,1,96500,4771
in_place,1,97000,4775
in_place,1,97500,4817
in_place,1,98000,4822
in_place,1,98500,4826
in_place,1,99000,5033
in_place,1,99500,4913
in_place,1,100000,4838
out_of_place,1,0,5881
out_of_place,1,500,5881
out_of_place,1,1000,5881
out_of_place,1,1500,5881
out_of_place,1,2000,5881
out_of_place,1,2500,5881
out_of_place,1,3000,5881
out_of_place,1,3500,5881
out_of_place,1,4000,5881
out_of_place,1,4500,5881
out_of_place,1,5000,5881
out_of_place,1,5500,5881
out_of_place,1,6000,5881
out_of_place,1,6500,5881
out_of_place,1,7000,5881
out_of_place,1,7500,5881
out_of_place,1,8000,5881
out_of_place,1,8500,5901
out_of_place,1,9000,5901
out_of_place,1,9500,5901
out_of_place,1,10000,5901
out_of_place,1,10500,5844
out_of_place,1,11000,5608
out_of_place,1,11500,5608
out_of_place,1,12000,5608
out_of_place,1,12500,5608
out_of_place,1,13000,5608
out_of_place,1,13500,5608
out_of_place,1,14000,5608
out_of_place,1,14500,5608
out_of_place,1,15000,5608
out_of_place,1,15500,5608
out_of_place,1,16000,5608
out_of_place,1,16500,5461
out_of_place,1,17000,5461
out_of_place,1,17500,5650
out_of_place,1,18000,5479
out_of_place,1,18500,5479
out_of_place,1,19000,5479
out_of_place,1,19500,5434
out_of_place,1,20000,5434
out_of_place,1,20500,5434
out_of_place,1,21000,5434
out_of_place,1,21500,5390
out_of_place,1,22000,5304
out_of_place,1,22500,5304
out_of_place,1,23000,5304
out_of_place,1,23500,5304
out_of_place,1,24000,5304
out_of_place,1,24500,5304
out_of_place,1,25000,5304
out_of_place,1,25500,5304
out_of_place,1,26000,5304
out_of_place,1,26500,5304
out_of_place,1,27000,5304
out_of_place,1,27500,5123
out_of_place,1,28000,5187
out_of_place,1,28500,5187
out_of_place,1,29000,5207
out_of_place,1,29500,5207
out_of_place,1,30000,5207
out_of_place,1,30500,5207
out_of_place,1,31000,5207
out_of_place,1,31500,5207
out_of_place,1,32000,5165
out_of_place,1,32500,5165
out_of_place,1,33000,5247
out_of_place,1,33500,5206
out_of_place,1,34000,5206
out_of_place,1,34500,5206
out_of_place,1,35000,5163
out_of_place,1,35500,5163
out_of_place,1,36000,5227
out_of_place,1,36500,5088
out_of_place,1,37000,4955
out_of_place,1,37500,4955
out_of_place,1,38000,4955
out_of_place,1,38500,4955
out_of_place,1,39000,4955
out_of_place,1,39500,4884
out_of_place,1,40000,4884
out_of_place,1,40500,4884
out_of_place,1,41000,5028
out_of_place,1,41500,5028
out_of_place,1,42000,5084
out_of_place,1,42500,5084
out_of_place,1,43000,5084
out_of_place,1,43500,5084
out_of_place,1,44000,5084
out_of_place,1,44500,5044
out_of_place,1,45000,5196
out_of_place,1,45500,5196
out_of_place,1,46000,5063
out_of_place,1,46500,5063
out_of_place,1,47000,5063
out_of_place,1,47500,5063
out_of_place,1,48000,5063
out_of_place,1,48500,5063
out_of_place,1,49000,5063
out_of_place,1,49500,4937
out_of_place,1,50000,4937
out_of_place,1,50500,4902
out_of_place,1,51000,4902
out_of_place,1,51500,4884
out_of_place,1,52000,5043
out_of_place,1,52500,5052
out_of_place,1,53000,5052
out_of_place,1,53500,5052
out_of_place,1,54000,5052
out_of_place,1,54500,5052
out_of_place,1,55000,5052
out_of_place,1,55500,5052
out_of_place,1,56000,5052
out_of_place,1,56500,5052
out_of_place,1,57000,5017
out_of_place,1,57500,5017
out_of_place,1,58000,5017
out_of_place,1,58500,4978
out_of_place,1,59000,4941
out_of_place,1,59500,4941
out_of_place,1,60000,5087
out_of_place,1,60500,5202
out_of_place,1,61000,5202
out_of_place,1,61500,5261
out_of_place,1,62000,5261
out_of_place,1,62500,5321
out_of_place,1,63000,5321
out_of_place,1,63500,5321
out_of_place,1,64000,5484
out_of_place,1,64500,5484
out_of_place,1,65000,5547
out_of_place,1,65500,5499
out_of_place,1,66000,5455
out_of_place,1,66500,5225
out_of_place,1,67000,5225
out_of_place,1,67500,5225
out_of_place,1,68000,5002
out_of_place,1,68500,5098
out_of_place,1,69000,5098
out_of_place,1,69500,5098
out_of_place,1,70000,5065
out_of_place,1,70500,5065
out_of_place,1,71000,5027
out_of_place,1,71500,5027
out_of_place,1,72000,5027
out_of_place,1,72500,5027
out_of_place,1,73000,5027
out_of_place,1,73500,5027
out_of_place,1,74000,5081
out_of_place,1,74500,5081
out_of_place,1,75000,5081
out_of_place,1,75500,5139
out_of_place,1,76000,5139
out_of_place,1,76500,5100
out_of_place,1,77000,4891
out_of_place,1,77500,4857
out_of_place,1,78000,4865
out_of_place,1,78500,4967
out_of_place,1,79000,4967
out_of_place,1,79500,4967
out_of_place,1,80000,4967
out_of_place,1,80500,4967
out_of_place,1,81000,4933
out_of_place,1,81500,4933
out_of_place,1,82000,4933
out_of_place,1,82500,4933
out_of_place,1,83000,4933
out_of_place,1,83500,4933
out_of_place,1,84000,4933
out_of_place,1,84500,4985
out_of_place,1,85000,4950
out_of_place,1,85500,4950
out_of_place,1,86000,4950
out_of_place,1,86500,4833
out_of_place,1,87000,4802
out_of_place,1,87500,4802
out_of_place,1,88000,4802
out_of_place,1,88500,4802
out_of_place,1,89000,4698
out_of_place,1,89500,4698
out_of_place,1,90000,4698
out_of_place,1,90500,4698
out_of_place,1,91000,4698
out_of_place,1,91500,4698
out_of_place,1,92000,4698
out_of_place,1,92500,4698
out_of_place,1,93000,4746
out_of_place,1,93500,4746
out_of_place,1,94000,4746
out_of_place,1,94500,4746
out_of_place,1,95000,4795
out_of_place,1,95500,4795
out_of_place,1,96000,4828
out_of_place,1,96500,4801
out_of_place,1,97000,4801
out_of_place,1,97500,4976
out_of_place,1,98000,5081
out_of_place,1,98500,5081
out_of_place,1,99000,5081
out_of_place,1,99500,5081
out_of_place,1,100000,5081
baseline,1,0,5081
baseline,1,500,5887
baseline,1,1000,5893
baseline,1,1500,5899
baseline,1,2000,5905
baseline,1,2500,5911
baseline,1,3000,5916
baseline,1,3500,5922
baseline,1,4000,5928
baseline,1,4500,5934
baseline,1,5000,5940
baseline,1,5500,5946
baseline,1,6000,5952
baseline,1,6500,5958
baseline,1,7000,5964
baseline,1,7500,5969
baseline,1,8000,5975
baseline,1,8500,5981
baseline,1,9000,5987
baseline,1,9500,5993
baseline,1,10000,5999
baseline,1,10500,6005
baseline,1,11000,6011
baseline,1,11500,6016
baseline,1,12000,6022
baseline,1,12500,6028
baseline,1,13000,6034
baseline,1,13500,6040
baseline,1,14000,6046
baseline,1,14500,6052
baseline,1,15000,6058
baseline,1,15500,6064
baseline,1,16000,6069
baseline,1,16500,6075
baseline,1,17000,6081
baseline,1,17500,6087
baseline,1,18000,6093
baseline,1,18500,6099
baseline,1,19000,6105
baseline,1,19500,6111
baseline,1,20000,6116
baseline,1,20500,6122
baseline,1,21000,6128
baseline,1,21500,6134
baseline,1,22000,6140
baseline,1,22500,6146
baseline,1,23000,6152
baseline,1,23500,6158
baseline,1,24000,6164
baseline,1,24500,6169
baseline,1,25000,6175
baseline,1,25500,6181
baseline,1,26000,6187
baseline,1,26500,6193
baseline,1,27000,6199
baseline,1,27500,6205
baseline,1,28000,6211
baseline,1,28500,6216
baseline,1,29000,6222
baseline,1,29500,6228
baseline,1,30000,6234
baseline,1,30500,6240
baseline,1,31000,6246
baseline,1,31500,6252
baseline,1,32000,6258
baseline,1,32500,6264
baseline,1,33000,6269
baseline,1,33500,6275
baseline,1,34000,6281
baseline,1,34500,6287
baseline,1,35000,6293
baseline,1,35500,6299
baseline,1,36000,6305
baseline,1,36500,6311
baseline,1,37000,6316
baseline,1,37500,6322
baseline,1,38000,6328
baseline,1,38500,6334
baseline,1,39000,6340
baseline,1,39500,6346
baseline,1,40000,6352
baseline,1,40500,6358
baseline,1,41000,6364
baseline,1,41500,6369
baseline,1,42000,6375
baseline,1,42500,6381
baseline,1,43000,6387
baseline,1,43500,6393
baseline,1,44000,6399
baseline,1,44500,6405
baseline,1,45000,6411
baseline,1,45500,6416
baseline,1,46000,6422
baseline,1,46500,6428
baseline,1,47000,6434
baseline,1,47500,6440
baseline,1,48000,6446
baseline,1,48500,6452
baseline,1,49000,6458
baseline,1,49500,6464
baseline,1,50000,6469
baseline,1,50500,6475
baseline,1,51000,6481
baseline,1,51500,6487
baseline,1,52000,6493
baseline,1,52500,6499
baseline,1,53000,6505
baseline,1,53500,6511
baseline,1,54000,6516
baseline,1,54500,6522
baseline,1,55000,6528
baseline,1,55500,6534
baseline,1,56000,6540
baseline,1,56500,6546
baseline,1,57000,6552
baseline,1,57500,6558
baseline,1,58000,6564
baseline,1,58500,6569
baseline,1,59000,6575
baseline,1,59500,6581
baseline,1,60000,6587
baseline,1,60500,6593
baseline,1,61000,6599
baseline,1,61500,6605
baseline,1,62000,6611
baseline,1,62500,6616
baseline,1,63000,6622
baseline,1,63500,6628
baseline,1,64000,6634
baseline,1,64500,6640
baseline,1,65000,6646
baseline,1,65500,6652
baseline,1,66000,6658
baseline,1,66500,6664
baseline,1,67000,6669
baseline,1,67500,6675
baseline,1,68000,6681
baseline,1,68500,6687
baseline,1,69000,6693
baseline,1,69500,6699
baseline,1,70000,6705
baseline,1,70500,6711
baseline,1,71000,6716
baseline,1,71500,6722
baseline,1,72000,6728
baseline,1,72500,6734
baseline,1,73000,6740
baseline,1,73500,6746
baseline,1,74000,6752
baseline,1,74500,6758
baseline,1,75000,6764
baseline,1,75500,6769
baseline,1,76000,6775
baseline,1,76500,6781
baseline,1,77000,6787
baseline,1,77500,6793
baseline,1,78000,6799
baseline,1,78500,6805
baseline,1,79000,6811
baseline,1,79500,6816
baseline,1,80000,6822
baseline,1,80500,6828
baseline,1,81000,6834
baseline,1,81500,6840
baseline,1,82000,6846
baseline,1,82500,6852
baseline,1,83000,6858
baseline,1,83500,6864
baseline,1,84000,6869
baseline,1,84500,6875
baseline,1,85000,6881
baseline,1,85500,6887
baseline,1,86000,6893
baseline,1,86500,6899
baseline,1,87000,6905
baseline,1,87500,6911
baseline,1,88000,6916
baseline,1,88500,6922
baseline,1,89000,6928
baseline,1,89500,6934
baseline,1,90000,6940
baseline,1,90500,6946
baseline,1,91000,6952
baseline,1,91500,6958
baseline,1,92000,6964
baseline,1,92500,6969
baseline,1,93000,6975
baseline,1,93500,6981
baseline,1,94000,6987
baseline,1,94500,6993
baseline,1,95000,6999
baseline,1,95500,7005
baseline,1,96000,7011
baseline,1,96500,7016
baseline,1,97000,7022
baseline,1,97500,7028
baseline,1,98000,7034
baseline,1,98500,7040
baseline,1,99000,7046
baseline,1,99500,7052
baseline,1,100000,7058
in_place,2,0,7041
in_place,2,500,7048
in_place,2,1000,7055
in_place,2,1500,7163
