name,data_size,seed,run,tree_shape,read_profile,split_history
out_place_n0,1000000,1,0,161#1,10000#0#0,@,
out_place_n0,1100000,1,0,323#1,20000#0#0,145#81@2222847#19717,
out_place_n0,1200000,1,0,473#5#1,30000#0#0,328#157#1@4609097#44206#6,
out_place_n0,1300000,1,0,575#5#1,40000#0#0,504#210#1@6709431#56118#6,
out_place_n0,1400000,1,0,695#8#1,50000#0#0,685#269#3@8811951#72045#23,
out_place_n0,1500000,1,0,800#11#1,60000#0#0,862#322#5@10767773#83021#45,
out_place_n0,1600000,1,0,894#11#1,70000#0#0,1034#368#5@12580306#92208#45,
out_place_n0,1700000,1,0,993#11#1,80000#0#0,1212#418#5@14454465#103364#45,
out_place_n0,1800000,1,0,1098#18#1,90000#0#0,1392#470#9@16297520#115204#110,
out_place_n0,1900000,1,0,1165#19#1,100000#0#0,1571#505#10@18072724#123067#130,
out_place_n0,2000000,1,0,1257#24#1,110000#0#0,1760#549#13@19927082#133690#199,
out_place_n2,1000000,1,0,161#1,10000#0#0,@,
out_place_n2,1100000,1,0,194#1,20000#0#0,105#100@3029028#17879,
out_place_n2,1200000,1,0,216#1,30000#0#0,220#207@6167250#40458,
out_place_n2,1300000,1,0,237#1,40000#0#0,347#327@9555539#68233,
out_place_n2,1400000,1,0,256#1,50000#0#0,472#439@13043484#95464,
out_place_n2,1500000,1,0,289#1,60000#0#0,590#546@16143581#125767,
out_place_n2,1600000,1,0,311#1,70000#0#0,714#658@19344623#158870,
out_place_n2,1700000,1,0,309#1,80000#0#0,840#773@22621075#196154,
out_place_n2,1800000,1,0,310#1,89998#0#2,960#881@25998488#229817,
out_place_n2,1900000,1,0,354#1,99994#0#6,1079#993@29577926#267019,
out_place_n2,2000000,1,0,354#1,109994#0#6,1209#1112@33134318#308927,
out_place_n8,1000000,1,0,161#1,10000#0#0,@,
out_place_n8,1100000,1,0,177#1,20000#0#0,45#45@4458017#7608,
out_place_n8,1200000,1,0,201#1,30000#0#0,95#95@9293678#17176,
out_place_n8,1300000,1,0,199#1,40000#0#0,147#147@14471770#27380,
out_place_n8,1400000,1,0,224#1,50000#0#0,196#196@19539423#37615,
out_place_n8,1500000,1,0,242#1,60000#0#0,247#247@24638243#49480,
out_place_n8,1600000,1,0,264#1,70000#0#0,297#297@29599055#62051,
out_place_n8,1700000,1,0,272#1,80000#0#0,345#345@34382385#75000,
out_place_n8,1800000,1,0,281#1,90000#0#0,395#395@39687418#88493,
out_place_n8,1900000,1,0,299#1,100000#0#0,445#445@44853887#103219,
out_place_n8,2000000,1,0,328#1,110000#0#0,490#490@49423341#117268,
out_place_n0,1000000,2,0,173#1,10000#0#0,@,
out_place_n0,1100000,2,0,320#1,20000#0#0,148#73@2158082#18125,
out_place_n0,1200000,2,0,466#1,30000#0#0,326#147@4545697#47291,
out_place_n0,1300000,2,0,579#7#1,40000#0#0,510#204#2@6828882#75391#14,
out_place_n0,1400000,2,0,694#28#1,50000#0#0,681#260#15@8946390#82889#274,
out_place_n0,1500000,2,0,792#28#1,60000#0#0,861#309#15@10974134#89328#274,
out_place_n0,1600000,2,0,910#30#1,70000#0#0,1044#368#16@13079149#98605#305,
out_place_n0,1700000,2,0,1017#31#1,80000#0#0,1222#421#17@14939672#106480#337,
out_place_n0,1800000,2,0,1115#49#1,90000#0#0,1398#471#28@16810634#113426#799,
out_place_n0,1900000,2,0,1219#56#1,100000#0#0,1575#522#32@18616285#118864#1017,
out_place_n0,2000000,2,0,1319#56#1,110000#0#0,1755#572#32@20380619#124849#1017,
out_place_n2,1000000,2,0,173#1,10000#0#0,@,
out_place_n2,1100000,2,0,202#1,20000#0#0,102#93@2864272#16800,
out_place_n2,1200000,2,0,214#1,30000#0#0,224#204@6137538#40865,
out_place_n2,1300000,2,0,228#1,40000#0#0,344#312@9429514#65616,
out_place_n2,1400000,2,0,233#1,50000#0#0,466#417@12858587#90900,
out_place_n2,1500000,2,0,251#1,60000#0#0,592#532@16513016#119295,
out_place_n2,1600000,2,0,270#1,69974#0#26,716#645@20180775#148897,
out_place_n2,1700000,2,0,285#1#1,79940#0#60,841#758#15@23716929#180607#64,
out_place_n2,1800000,2,0,328#1#1,89822#0#178,958#865#16@27290902#213003#68,
out_place_n2,1900000,2,0,349#1#1,99791#0#209,1085#977#16@30782940#251356#68,
out_place_n2,2000000,2,0,370#1#1,109789#0#211,1201#1086#16@34138466#291174#68,
out_place_n8,1000000,2,0,173#1,10000#0#0,@,
out_place_n8,1100000,2,0,179#1,20000#0#0,41#41@3899845#7177,
