name,data_size,seed,time
out_place_n0,110000,1,1457
out_place_n0,120000,1,1485
out_place_n0,130000,1,1536
out_place_n0,140000,1,842
out_place_n0,150000,1,643
out_place_n0,160000,1,541
out_place_n0,170000,1,631
out_place_n0,180000,1,592
out_place_n0,190000,1,660
out_place_n0,200000,1,808
out_place_n2,110000,1,3081
out_place_n2,120000,1,2550
out_place_n2,130000,1,1533
out_place_n2,140000,1,1366
out_place_n2,150000,1,1328
out_place_n2,160000,1,1699
out_place_n2,170000,1,1563
out_place_n2,180000,1,1301
out_place_n2,190000,1,1668
out_place_n2,200000,1,2150
out_place_n8,110000,1,3162
out_place_n8,120000,1,2465
out_place_n8,130000,1,1556
out_place_n8,140000,1,1173
out_place_n8,150000,1,1255
out_place_n8,160000,1,1265
out_place_n8,170000,1,1239
out_place_n8,180000,1,1319
out_place_n8,190000,1,1571
out_place_n8,200000,1,1846
baseline,110000,1,1379
baseline,120000,1,1498
baseline,130000,1,1545
baseline,140000,1,1661
baseline,150000,1,1789
baseline,160000,1,1863
baseline,170000,1,1960
baseline,180000,1,2076
baseline,190000,1,2244
baseline,200000,1,2551
out_place_n0,110000,2,2030
out_place_n0,120000,2,1892
out_place_n0,130000,2,1207
out_place_n0,140000,2,1103
out_place_n0,150000,2,1130
out_place_n0,160000,2,1076
out_place_n0,170000,2,1090
out_place_n0,180000,2,1091
out_place_n0,190000,2,655
out_place_n0,200000,2,773
out_place_n2,110000,2,2075
out_place_n2,120000,2,1892
out_place_n2,130000,2,1125
out_place_n2,140000,2,1346
out_place_n2,150000,2,2201
out_place_n2,160000,2,2808
out_place_n2,170000,2,1955
out_place_n2,180000,2,2209
out_place_n2,190000,2,1910
out_place_n2,200000,2,1968
out_place_n8,110000,2,2085
out_place_n8,120000,2,1799
out_place_n8,130000,2,1342
out_place_n8,140000,2,2742
out_place_n8,150000,2,3030
out_place_n8,160000,2,2880
out_place_n8,170000,2,2588
out_place_n8,180000,2,2125
out_place_n8,190000,2,1813
out_place_n8,200000,2,1943
baseline,110000,2,2009
baseline,120000,2,2110
baseline,130000,2,2438
baseline,140000,2,2542
baseline,150000,2,2535
baseline,160000,2,2645
baseline,170000,2,2939
baseline,180000,2,2879
baseline,190000,2,3227
baseline,200000,2,3244
out_place_n0,110000,3,1107
out_place_n0,120000,3,1210
out_place_n0,130000,3,1290
out_place_n0,140000,3,1482
out_place_n0,150000,3,1485
out_place_n0,160000,3,1689
out_place_n0,170000,3,1914
out_place_n0,180000,3,1945
out_place_n0,190000,3,2072
out_place_n0,200000,3,2044
out_place_n2,110000,3,1712
out_place_n2,120000,3,1708
out_place_n2,130000,3,2478
out_place_n2,140000,3,3191
out_place_n2,150000,3,3719
out_place_n2,160000,3,3227
out_place_n2,170000,3,3673
out_place_n2,180000,3,3508
out_place_n2,190000,3,4288
out_place_n2,200000,3,4101
out_place_n8,110000,3,1442
out_place_n8,120000,3,1501
out_place_n8,130000,3,2965
out_place_n8,140000,3,5001
out_place_n8,150000,3,3251
out_place_n8,160000,3,3754
out_place_n8,170000,3,3447
out_place_n8,180000,3,3522
out_place_n8,190000,3,4165
out_place_n8,200000,3,2389
baseline,110000,3,2401
baseline,120000,3,2523
baseline,130000,3,2692
baseline,140000,3,2871
baseline,150000,3,2783
baseline,160000,3,2766
baseline,170000,3,3131
baseline,180000,3,2896
baseline,190000,3,2838
baseline,200000,3,2685
