name,data_size,seed,time
out_place_n0,1100000,1,2607
out_place_n0,1200000,1,2493
out_place_n0,1300000,1,2277
out_place_n0,1400000,1,2360
out_place_n0,1500000,1,3158
out_place_n0,1600000,1,2255
out_place_n0,1700000,1,2359
out_place_n0,1800000,1,2425
out_place_n0,1900000,1,2234
out_place_n0,2000000,1,2148
out_place_n2,1100000,1,3577
out_place_n2,1200000,1,4111
out_place_n2,1300000,1,4289
out_place_n2,1400000,1,4775
out_place_n2,1500000,1,4183
out_place_n2,1600000,1,4121
out_place_n2,1700000,1,5973
out_place_n2,1800000,1,5250
out_place_n2,1900000,1,5579
out_place_n2,2000000,1,4882
out_place_n8,1100000,1,3199
out_place_n8,1200000,1,3706
out_place_n8,1300000,1,4417
out_place_n8,1400000,1,5307
out_place_n8,1500000,1,4730
out_place_n8,1600000,1,4781
out_place_n8,1700000,1,5156
out_place_n8,1800000,1,4794
out_place_n8,1900000,1,5120
out_place_n8,2000000,1,5151
baseline,1100000,1,3749
baseline,1200000,1,4444
baseline,1300000,1,5027
baseline,1400000,1,5723
baseline,1500000,1,6658
baseline,1600000,1,7794
baseline,1700000,1,8474
baseline,1800000,1,8125
baseline,1900000,1,9021
baseline,2000000,1,9605
out_place_n0,1100000,2,3128
out_place_n0,1200000,2,2752
out_place_n0,1300000,2,2840
out_place_n0,1400000,2,2698
out_place_n0,1500000,2,2746
out_place_n0,1600000,2,2750
out_place_n0,1700000,2,2743
out_place_n0,1800000,2,2564
out_place_n0,1900000,2,2560
out_place_n0,2000000,2,2400
out_place_n2,1100000,2,4245
out_place_n2,1200000,2,5073
out_place_n2,1300000,2,3796
out_place_n2,1400000,2,4317
out_place_n2,1500000,2,4680
out_place_n2,1600000,2,4733
out_place_n2,1700000,2,5383
out_place_n2,1800000,2,5041
out_place_n2,1900000,2,5227
out_place_n2,2000000,2,6054
out_place_n8,1100000,2,4095
out_place_n8,1200000,2,4464
out_place_n8,1300000,2,4159
out_place_n8,1400000,2,4615
out_place_n8,1500000,2,5037
out_place_n8,1600000,2,4874
out_place_n8,1700000,2,5132
out_place_n8,1800000,2,5651
out_place_n8,1900000,2,5533
out_place_n8,2000000,2,6764
baseline,1100000,2,4685
baseline,1200000,2,5445
baseline,1300000,2,6385
baseline,1400000,2,5376
baseline,1500000,2,5684
baseline,1600000,2,5954
baseline,1700000,2,6325
baseline,1800000,2,6579
baseline,1900000,2,7365
baseline,2000000,2,7373
out_place_n0,1100000,3,3036
out_place_n0,1200000,3,2996
out_place_n0,1300000,3,2403
out_place_n0,1400000,3,2585
out_place_n0,1500000,3,2319
out_place_n0,1600000,3,2420
out_place_n0,1700000,3,2497
out_place_n0,1800000,3,2637
out_place_n0,1900000,3,2517
out_place_n0,2000000,3,2355
out_place_n2,1100000,3,4687
out_place_n2,1200000,3,4275
out_place_n2,1300000,3,4625
out_place_n2,1400000,3,5934
out_place_n2,1500000,3,4719
out_place_n2,1600000,3,4632
out_place_n2,1700000,3,6043
out_place_n2,1800000,3,5262
out_place_n2,1900000,3,5139
out_place_n2,2000000,3,5445
out_place_n8,1100000,3,4300
out_place_n8,1200000,3,4881
out_place_n8,1300000,3,4461
out_place_n8,1400000,3,5093
out_place_n8,1500000,3,5576
out_place_n8,1600000,3,6725
out_place_n8,1700000,3,5994
out_place_n8,1800000,3,6496
out_place_n8,1900000,3,6538
out_place_n8,2000000,3,5641
baseline,1100000,3,4194
baseline,1200000,3,5385
baseline,1300000,3,5027
baseline,1400000,3,4431
baseline,1500000,3,4398
baseline,1600000,3,4323
baseline,1700000,3,4350
baseline,1800000,3,4463
baseline,1900000,3,4400
baseline,2000000,3,4338
