name,data_size,seed,time
out_place_n0,1010000,1,856
out_place_n0,1020000,1,902
out_place_n0,1030000,1,977
out_place_n0,1040000,1,775
out_place_n0,1050000,1,1006
out_place_n0,1060000,1,1161
out_place_n0,1070000,1,1111
out_place_n0,1080000,1,1350
out_place_n0,1090000,1,1330
out_place_n0,1100000,1,1264
out_place_n2,1010000,1,1226
out_place_n2,1020000,1,1235
out_place_n2,1030000,1,1247
out_place_n2,1040000,1,1579
out_place_n2,1050000,1,1532
out_place_n2,1060000,1,1154
out_place_n2,1070000,1,977
out_place_n2,1080000,1,1101
out_place_n2,1090000,1,1185
out_place_n2,1100000,1,1236
out_place_n8,1010000,1,1378
out_place_n8,1020000,1,1086
out_place_n8,1030000,1,1143
out_place_n8,1040000,1,840
out_place_n8,1050000,1,1112
out_place_n8,1060000,1,1060
out_place_n8,1070000,1,986
out_place_n8,1080000,1,1063
out_place_n8,1090000,1,1109
out_place_n8,1100000,1,1669
baseline,1010000,1,1274
baseline,1020000,1,914
baseline,1030000,1,905
baseline,1040000,1,1197
baseline,1050000,1,1146
baseline,1060000,1,1098
baseline,1070000,1,1000
baseline,1080000,1,916
baseline,1090000,1,956
baseline,1100000,1,901
out_place_n0,1010000,2,900
out_place_n0,1020000,2,926
out_place_n0,1030000,2,1145
out_place_n0,1040000,2,982
out_place_n0,1050000,2,1031
out_place_n0,1060000,2,1073
out_place_n0,1070000,2,1570
out_place_n0,1080000,2,1051
out_place_n0,1090000,2,1192
out_place_n0,1100000,2,1067
out_place_n2,1010000,2,1193
out_place_n2,1020000,2,1304
out_place_n2,1030000,2,1156
out_place_n2,1040000,2,1128
out_place_n2,1050000,2,1097
out_place_n2,1060000,2,1178
out_place_n2,1070000,2,1089
out_place_n2,1080000,2,1215
out_place_n2,1090000,2,1313
out_place_n2,1100000,2,1035
out_place_n8,1010000,2,1585
out_place_n8,1020000,2,1303
out_place_n8,1030000,2,1376
out_place_n8,1040000,2,1191
out_place_n8,1050000,2,1436
out_place_n8,1060000,2,1351
out_place_n8,1070000,2,1402
out_place_n8,1080000,2,1687
out_place_n8,1090000,2,1356
out_place_n8,1100000,2,1644
baseline,1010000,2,1830
baseline,1020000,2,1044
baseline,1030000,2,1175
baseline,1040000,2,1405
baseline,1050000,2,1784
baseline,1060000,2,1370
baseline,1070000,2,1860
baseline,1080000,2,1314
baseline,1090000,2,1050
baseline,1100000,2,1016
out_place_n0,1010000,3,1085
out_place_n0,1020000,3,1045
out_place_n0,1030000,3,825
out_place_n0,1040000,3,830
out_place_n0,1050000,3,862
out_place_n0,1060000,3,1200
out_place_n0,1070000,3,954
out_place_n0,1080000,3,1045
out_place_n0,1090000,3,1004
out_place_n0,1100000,3,1070
out_place_n2,1010000,3,946
out_place_n2,1020000,3,998
out_place_n2,1030000,3,921
out_place_n2,1040000,3,1125
out_place_n2,1050000,3,844
out_place_n2,1060000,3,889
out_place_n2,1070000,3,854
out_place_n2,1080000,3,926
out_place_n2,1090000,3,859
out_place_n2,1100000,3,1014
out_place_n8,1010000,3,928
out_place_n8,1020000,3,956
out_place_n8,1030000,3,896
out_place_n8,1040000,3,975
out_place_n8,1050000,3,898
out_place_n8,1060000,3,984
out_place_n8,1070000,3,927
out_place_n8,1080000,3,1098
out_place_n8,1090000,3,1054
out_place_n8,1100000,3,1045
baseline,1010000,3,832
baseline,1020000,3,796
baseline,1030000,3,864
baseline,1040000,3,935
baseline,1050000,3,899
baseline,1060000,3,861
baseline,1070000,3,906
baseline,1080000,3,850
baseline,1090000,3,829
baseline,1100000,3,906
