name,data_size,seed,time
out_place_n0,10000,1,82
out_place_n2,10000,1,69
out_place_n8,10000,1,68
baseline,10000,1,1
out_place_n0,10000,2,67
out_place_n2,10000,2,65
out_place_n8,10000,2,79
baseline,10000,2,2
out_place_n0,10000,3,80
out_place_n2,10000,3,66
out_place_n8,10000,3,65
baseline,10000,3,1
out_place_n0,10000,4,65
out_place_n2,10000,4,68
out_place_n8,10000,4,64
baseline,10000,4,1
out_place_n0,10000,5,65
out_place_n2,10000,5,72
out_place_n8,10000,5,67
baseline,10000,5,1
out_place_n0,100000,1,180
out_place_n2,100000,1,269
out_place_n8,100000,1,271
baseline,100000,1,13
out_place_n0,100000,2,235
out_place_n2,100000,2,246
out_place_n8,100000,2,247
baseline,100000,2,11
out_place_n0,100000,3,178
out_place_n2,100000,3,210
out_place_n8,100000,3,211
baseline,100000,3,11
out_place_n0,100000,4,135
out_place_n2,100000,4,134
out_place_n8,100000,4,136
baseline,100000,4,11
out_place_n0,100000,5,166
out_place_n2,100000,5,234
out_place_n8,100000,5,218
baseline,100000,5,11
out_place_n0,300000,1,150
out_place_n2,300000,1,163
out_place_n8,300000,1,192
baseline,300000,1,36
out_place_n0,300000,2,196
out_place_n2,300000,2,201
out_place_n8,300000,2,237
baseline,300000,2,36
out_place_n0,300000,3,317
out_place_n2,300000,3,325
out_place_n8,300000,3,333
baseline,300000,3,38
out_place_n0,300000,4,182
out_place_n2,300000,4,180
out_place_n8,300000,4,216
baseline,300000,4,36
out_place_n0,300000,5,279
out_place_n2,300000,5,258
out_place_n8,300000,5,270
baseline,300000,5,36
out_place_n0,1000000,1,254
out_place_n2,1000000,1,280
out_place_n8,1000000,1,263
baseline,1000000,1,136
out_place_n0,1000000,2,338
out_place_n2,1000000,2,307
out_place_n8,1000000,2,302
baseline,1000000,2,126
out_place_n0,1000000,3,356
out_place_n2,1000000,3,329
out_place_n8,1000000,3,381
baseline,1000000,3,125
out_place_n0,1000000,4,464
out_place_n2,1000000,4,548
out_place_n8,1000000,4,510
baseline,1000000,4,138
out_place_n0,1000000,5,420
out_place_n2,1000000,5,375
out_place_n8,1000000,5,425
baseline,1000000,5,124
out_place_n0,3000000,1,479
out_place_n2,3000000,1,427
out_place_n8,3000000,1,420
baseline,3000000,1,432
out_place_n0,3000000,2,429
out_place_n2,3000000,2,429
out_place_n8,3000000,2,438
baseline,3000000,2,432
out_place_n0,3000000,3,427
out_place_n2,3000000,3,450
out_place_n8,3000000,3,451
baseline,3000000,3,432
out_place_n0,3000000,4,382
out_place_n2,3000000,4,394
out_place_n8,3000000,4,416
baseline,3000000,4,434
out_place_n0,3000000,5,465
out_place_n2,3000000,5,651
out_place_n8,3000000,5,730
baseline,3000000,5,603
out_place_n0,10000000,1,525
out_place_n2,10000000,1,520
out_place_n8,10000000,1,562
baseline,10000000,1,1679
out_place_n0,10000000,2,560
out_place_n2,10000000,2,550
out_place_n8,10000000,2,546
baseline,10000000,2,1743
out_place_n0,10000000,3,497
out_place_n2,10000000,3,541
out_place_n8,10000000,3,497
baseline,10000000,3,1670
out_place_n0,10000000,4,589
out_place_n2,10000000,4,575
out_place_n8,10000000,4,513
baseline,10000000,4,1704
out_place_n0,10000000,5,556
out_place_n2,10000000,5,555
out_place_n8,10000000,5,588
baseline,10000000,5,1627
out_place_n0,30000000,1,584
out_place_n2,30000000,1,577
out_place_n8,30000000,1,562
baseline,30000000,1,5778
out_place_n0,30000000,2,534
out_place_n2,30000000,2,515
out_place_n8,30000000,2,517
baseline,30000000,2,5121
out_place_n0,30000000,3,471
out_place_n2,30000000,3,501
out_place_n8,30000000,3,496
baseline,30000000,3,5038
out_place_n0,30000000,4,524
out_place_n2,30000000,4,542
out_place_n8,30000000,4,490
baseline,30000000,4,4880
out_place_n0,30000000,5,486
out_place_n2,30000000,5,498
out_place_n8,30000000,5,494
baseline,30000000,5,4896
