name,seed,trial,write_prop,time,size
outplace_n0,1,0,0,82,3440
outplace_n1,1,0,0,88,3440
outplace_n2,1,0,0,86,3440
outplace_n4,1,0,0,101,3440
outplace_n8,1,0,0,90,3440
outplace_n0,1,0,0.1,237,64416
outplace_n1,1,0,0.1,371,43376
outplace_n2,1,0,0.1,347,33904
outplace_n4,1,0,0.1,352,41448
outplace_n8,1,0,0.1,375,20544
outplace_n0,1,0,0.2,411,88336
outplace_n1,1,0,0.2,488,46712
outplace_n2,1,0,0.2,522,36784
outplace_n4,1,0,0.2,567,30576
outplace_n8,1,0,0.2,611,30880
outplace_n0,1,0,0.3,492,134096
outplace_n1,1,0,0.3,610,39360
outplace_n2,1,0,0.3,807,43400
outplace_n4,1,0,0.3,879,28016
outplace_n8,1,0,0.3,886,24672
outplace_n0,1,0,0.4,640,164480
outplace_n1,1,0,0.4,848,40696
outplace_n2,1,0,0.4,873,43928
outplace_n4,1,0,0.4,1139,33904
outplace_n8,1,0,0.4,1255,27192
outplace_n0,2,0,0,90,2880
outplace_n1,2,0,0,82,2880
outplace_n2,2,0,0,107,2880
outplace_n4,2,0,0,96,2880
outplace_n8,2,0,0,87,2880
outplace_n0,2,0,0.1,287,63240
outplace_n1,2,0,0.1,358,38912
outplace_n2,2,0,0.1,362,26616
outplace_n4,2,0,0.1,340,25048
outplace_n8,2,0,0.1,360,24880
outplace_n0,2,0,0.2,406,109352
outplace_n1,2,0,0.2,586,35648
outplace_n2,2,0,0.2,550,31176
outplace_n4,2,0,0.2,578,28952
outplace_n8,2,0,0.2,628,23912
outplace_n0,2,0,0.3,501,124072
outplace_n1,2,0,0.3,660,50064
outplace_n2,2,0,0.3,828,42608
outplace_n4,2,0,0.3,909,30416
outplace_n8,2,0,0.3,988,28336
outplace_n0,2,0,0.4,642,163360
outplace_n1,2,0,0.4,773,55768
outplace_n2,2,0,0.4,871,32552
outplace_n4,2,0,0.4,982,31304
outplace_n8,2,0,0.4,1126,24880
outplace_n0,3,0,0,78,3120
outplace_n1,3,0,0,88,3120
outplace_n2,3,0,0,84,3120
outplace_n4,3,0,0,79,3120
outplace_n8,3,0,0,80,3120
outplace_n0,3,0,0.1,232,55880
outplace_n1,3,0,0.1,270,38032
outplace_n2,3,0,0.1,330,32680
outplace_n4,3,0,0.1,377,21376
outplace_n8,3,0,0.1,453,19664
outplace_n0,3,0,0.2,462,98480
outplace_n1,3,0,0.2,541,36840
outplace_n2,3,0,0.2,515,31448
outplace_n4,3,0,0.2,560,29936
outplace_n8,3,0,0.2,670,27712
outplace_n0,3,0,0.3,483,118568
outplace_n1,3,0,0.3,622,45456
outplace_n2,3,0,0.3,729,37928
outplace_n4,3,0,0.3,848,31896
outplace_n8,3,0,0.3,1000,31736
outplace_n0,3,0,0.4,712,148248
outplace_n1,3,0,0.4,934,45384
outplace_n2,3,0,0.4,997,35032
outplace_n4,3,0,0.4,1081,29040
outplace_n8,3,0,0.4,1275,26192
