name,data_size,seed,time
out_place_n0,1100000,1,27
out_place_n0,1200000,1,27
out_place_n0,1300000,1,30
out_place_n0,1400000,1,40
out_place_n0,1500000,1,37
out_place_n0,1600000,1,33
out_place_n0,1700000,1,39
out_place_n0,1800000,1,41
out_place_n0,1900000,1,43
out_place_n0,2000000,1,36
out_place_n2,1100000,1,22
out_place_n2,1200000,1,21
out_place_n2,1300000,1,23
out_place_n2,1400000,1,23
out_place_n2,1500000,1,24
out_place_n2,1600000,1,25
out_place_n2,1700000,1,26
out_place_n2,1800000,1,26
out_place_n2,1900000,1,29
out_place_n2,2000000,1,26
out_place_n8,1100000,1,21
out_place_n8,1200000,1,22
out_place_n8,1300000,1,22
out_place_n8,1400000,1,23
out_place_n8,1500000,1,23
out_place_n8,1600000,1,24
out_place_n8,1700000,1,25
out_place_n8,1800000,1,25
out_place_n8,1900000,1,26
out_place_n8,2000000,1,26
baseline,1100000,1,21
baseline,1200000,1,21
baseline,1300000,1,21
baseline,1400000,1,21
baseline,1500000,1,22
baseline,1600000,1,21
baseline,1700000,1,21
baseline,1800000,1,21
baseline,1900000,1,21
baseline,2000000,1,21
out_place_n0,1100000,2,27
out_place_n0,1200000,2,27
out_place_n0,1300000,2,29
out_place_n0,1400000,2,31
out_place_n0,1500000,2,32
out_place_n0,1600000,2,34
out_place_n0,1700000,2,36
out_place_n0,1800000,2,38
out_place_n0,1900000,2,38
out_place_n0,2000000,2,40
out_place_n2,1100000,2,21
out_place_n2,1200000,2,22
out_place_n2,1300000,2,23
out_place_n2,1400000,2,23
out_place_n2,1500000,2,24
out_place_n2,1600000,2,24
out_place_n2,1700000,2,25
out_place_n2,1800000,2,25
out_place_n2,1900000,2,26
out_place_n2,2000000,2,26
out_place_n8,1100000,2,21
out_place_n8,1200000,2,29
out_place_n8,1300000,2,28
out_place_n8,1400000,2,33
out_place_n8,1500000,2,23
out_place_n8,1600000,2,24
out_place_n8,1700000,2,25
out_place_n8,1800000,2,26
out_place_n8,1900000,2,26
out_place_n8,2000000,2,25
baseline,1100000,2,22
baseline,1200000,2,21
baseline,1300000,2,21
baseline,1400000,2,21
baseline,1500000,2,21
baseline,1600000,2,21
baseline,1700000,2,21
baseline,1800000,2,22
baseline,1900000,2,21
baseline,2000000,2,21
out_place_n0,1100000,3,26
out_place_n0,1200000,3,28
out_place_n0,1300000,3,30
out_place_n0,1400000,3,30
out_place_n0,1500000,3,46
out_place_n0,1600000,3,35
out_place_n0,1700000,3,42
out_place_n0,1800000,3,37
out_place_n0,1900000,3,48
out_place_n0,2000000,3,38
out_place_n2,1100000,3,20
out_place_n2,1200000,3,22
out_place_n2,1300000,3,23
out_place_n2,1400000,3,23
out_place_n2,1500000,3,23
out_place_n2,1600000,3,25
out_place_n2,1700000,3,24
out_place_n2,1800000,3,26
out_place_n2,1900000,3,33
out_place_n2,2000000,3,30
out_place_n8,1100000,3,27
out_place_n8,1200000,3,26
out_place_n8,1300000,3,29
out_place_n8,1400000,3,26
out_place_n8,1500000,3,25
out_place_n8,1600000,3,26
out_place_n8,1700000,3,48
out_place_n8,1800000,3,30
out_place_n8,1900000,3,32
out_place_n8,2000000,3,35
baseline,1100000,3,29
baseline,1200000,3,41
baseline,1300000,3,29
baseline,1400000,3,32
baseline,1500000,3,29
baseline,1600000,3,29
baseline,1700000,3,29
baseline,1800000,3,29
baseline,1900000,3,28
baseline,2000000,3,27
