name,data_size,seed,run,tree_shape,read_profile,split_history
out_place_n0,1000000,1,0,47#1,928#0#0,@,
out_place_n0,1100000,1,0,330#12#1,1857#5#0,743#144#6@30932830#23073#55,
out_place_n0,1200000,1,0,477#26#1,2780#12#0,1500#219#16@57181894#28771#258,
out_place_n0,1300000,1,0,615#31#1,3697#19#0,2264#290#20@82461175#33819#380,
out_place_n0,1400000,1,0,771#50#1,4610#34#0,3015#369#35@106780049#39331#1016,
out_place_n0,1500000,1,0,871#72#1,5531#42#0,3782#420#52@130120648#42495#2097,
out_place_n0,1600000,1,0,979#79#1,6462#52#0,4536#474#58@152641862#45331#2560,
out_place_n0,1700000,1,0,1081#80#1,7375#62#0,5301#526#59@175648346#48345#2641,
out_place_n0,1800000,1,0,1171#101#1,8285#73#0,6065#573#77@198953101#51514#4295,
out_place_n0,1900000,1,0,1247#121#1,9180#86#11,6827#611#92@221674764#54013#5972,
out_place_n0,2000000,1,0,1342#137#1,10059#105#44,7584#661#107@242440353#56585#7929,
out_place_n2,1000000,1,0,47#1,923#0#0,@,
out_place_n2,1100000,1,0,70#1,1863#3#0,494#462@45356962#30237,
out_place_n2,1200000,1,0,74#1,2799#5#0,991#912@90395187#64418,
out_place_n2,1300000,1,0,78#1,3730#7#0,1488#1364@136295458#99126,
out_place_n2,1400000,1,0,63#1,4651#7#1,1993#1815@186096753#135229,
out_place_n2,1500000,1,0,92#1,5585#7#4,2507#2288@236782598#170680,
out_place_n2,1600000,1,0,90#1,6515#9#4,3025#2762@287841775#214315,
out_place_n2,1700000,1,0,83#1,7449#10#4,3530#3230@340091565#255935,
out_place_n2,1800000,1,0,94#1,8360#10#5,4041#3712@394917196#299458,
out_place_n2,1900000,1,0,91#1,9259#12#34,4549#4182@446804704#345324,
out_place_n2,2000000,1,0,126#1,10188#13#34,5061#4647@498768727#395950,
out_place_n8,1000000,1,0,47#1,941#0#0,@,
out_place_n8,1100000,1,0,51#1,1871#2#0,212#212@60847782#11010,
out_place_n8,1200000,1,0,52#1,2799#2#0,427#427@128684118#22442,
out_place_n8,1300000,1,0,59#1,3725#4#0,641#641@198855447#34293,
out_place_n8,1400000,1,0,53#1,4662#4#0,872#872@274907564#47664,
out_place_n8,1500000,1,0,66#1,5584#5#0,1097#1097@356000891#60978,
out_place_n8,1600000,1,0,63#1,6509#9#0,1311#1311@433556982#74710,
out_place_n8,1700000,1,0,65#1,7449#10#0,1534#1534@513852646#89426,
out_place_n8,1800000,1,0,76#1,8386#12#0,1773#1773@601029582#105979,
out_place_n8,1900000,1,0,75#1,9325#15#0,1997#1997@681514581#122446,
out_place_n8,2000000,1,0,80#1,10248#16#0,2216#2216@762233542#140073,
out_place_n0,1000000,2,0,41#1,930#0#0,@,
out_place_n0,1100000,2,0,293#22#1,1830#2#30,756#130#14@37471596#9836#203,
out_place_n0,1200000,2,0,416#51#1,2693#7#102,1519#193#41@68368228#12918#1241,
out_place_n0,1300000,2,0,516#75#1,3549#14#173,2285#244#63@97492102#14944#2655,
out_place_n0,1400000,2,0,658#98#6#1,4374#24#284,3042#317#84#4@125675650#18016#4465#22,
out_place_n0,1500000,2,0,751#113#9#1,5244#29#350,3802#364#97#7@152271892#19906#5770#49,
out_place_n0,1600000,2,0,884#146#9#1,6097#34#423,4559#433#128#7@177986071#23164#9568#49,
out_place_n0,1700000,2,0,997#164#9#1,6939#40#513,5314#493#145#7@202575088#25321#12091#49,
out_place_n0,1800000,2,0,1124#195#14#1,7794#54#577,6079#558#172#11@225934107#28492#15188#103,
out_place_n0,1900000,2,0,1210#207#21#1,8636#65#659,6838#602#183#18@246933255#30678#16087#236,
out_place_n0,2000000,2,0,1280#213#21#1,9450#77#766,7588#637#188#18@267294903#32238#16593#236,
out_place_n2,1000000,2,0,41#1,930#0#0,@,
out_place_n2,1100000,2,0,62#1,1872#0#0,510#455@52397307#22552,
out_place_n2,1200000,2,0,67#1,2795#0#0,1037#917@107231098#51197,
out_place_n2,1300000,2,0,60#1,3712#1#0,1562#1391@157945571#84422,
out_place_n2,1400000,2,0,69#1,4638#4#0,2075#1843@210159217#115353,
out_place_n2,1500000,2,0,75#1,5586#4#0,2601#2301@263054704#148187,
out_place_n2,1600000,2,0,82#1,6517#5#0,3126#2761@316412650#183941,
out_place_n2,1700000,2,0,96#1,7438#6#3,3653#3229@370104746#223859,
out_place_n2,1800000,2,0,96#1,8375#6#4,4174#3693@421226091#267366,
out_place_n2,1900000,2,0,96#1,9289#7#5,4693#4159@476691138#312887,
out_place_n2,2000000,2,0,104#1,10220#8#5,5210#4636@534543567#364168,
out_place_n8,1000000,2,0,41#1,935#0#0,@,
out_place_n8,1100000,2,0,42#1,1871#0#0,221#221@74919408#9489,
out_place_n8,1200000,2,0,51#1,2812#0#0,447#447@155694931#20040,
out_place_n8,1300000,2,0,57#1,3758#2#0,661#661@227328411#31354,
out_place_n8,1400000,2,0,60#1,4686#2#0,867#867@299131630#43069,
out_place_n8,1500000,2,0,60#1,5642#2#0,1084#1084@376106559#56509,
out_place_n8,1600000,2,0,70#1,6570#3#0,1311#1311@454617959#71736,
out_place_n8,1700000,2,0,68#1,7506#4#0,1534#1534@533793049#87022,
out_place_n8,1800000,2,0,77#1,8448#4#0,1749#1749@615187761#102344,
out_place_n8,1900000,2,0,78#1,9374#5#0,1958#1958@698566318#117274,
out_place_n8,2000000,2,0,76#1,10303#6#0,2176#2176@789063061#133610,
out_place_n0,1000000,3,0,41#1,937#0#0,@,
out_place_n0,1100000,3,0,364#14#1,1879#4#0,748#164#6@36634931#20025#61,
out_place_n0,1200000,3,0,547#44#1,2803#11#0,1507#258#31@67122584#25664#827,
out_place_n0,1300000,3,0,728#66#1,3725#19#0,2261#351#49@95624133#30654#1849,
out_place_n0,1400000,3,0,801#81#1,4654#28#0,3012#388#63@121571680#32233#2900,
out_place_n0,1500000,3,0,954#98#1,5567#41#1,3781#468#78@146396042#35987#4265,
out_place_n0,1600000,3,0,1039#116#1,6479#51#2,4546#512#95@170329016#38097#6111,
out_place_n0,1700000,3,0,1096#134#1,7403#61#3,5309#541#112@194034672#39696#8270,
out_place_n0,1800000,3,0,1216#145#1,8324#74#3,6070#603#122@217677280#43146#9680,
out_place_n0,1900000,3,0,1285#150#1,9248#88#4,6826#639#127@241246863#45042#10425,
out_place_n0,2000000,3,0,1380#171#9#1,10147#101#4,7598#687#148#5@263227406#47621#12964#40,
out_place_n2,1000000,3,0,41#1,936#0#0,@,
out_place_n2,1100000,3,0,63#1,1873#1#0,508#462@51175929#26362,
out_place_n2,1200000,3,0,63#1,2787#3#0,1029#936@103897297#56693,
out_place_n2,1300000,3,0,79#1,3717#5#0,1544#1398@153212188#91399,
out_place_n2,1400000,3,0,80#1,4634#6#0,2048#1853@201726960#126913,
out_place_n2,1500000,3,0,96#1,5560#7#0,2572#2314@253054912#168333,
out_place_n2,1600000,3,0,92#1,6487#10#0,3088#2773@303631149#213720,
out_place_n2,1700000,3,0,81#1,7435#10#0,3606#3230@353991939#253270,
out_place_n2,1800000,3,0,88#1,8363#12#0,4121#3684@403644283#296538,
out_place_n2,1900000,3,0,106#1,9300#14#0,4632#4152@457843371#338000,
out_place_n2,2000000,3,0,116#1,10230#15#0,5146#4612@510525839#388943,
out_place_n8,1000000,3,0,41#1,925#0#0,@,
out_place_n8,1100000,3,0,49#1,1849#1#0,220#220@73967400#10377,
out_place_n8,1200000,3,0,53#1,2785#3#0,443#443@153983003#21192,
out_place_n8,1300000,3,0,59#1,3696#5#0,675#675@232450218#34099,
out_place_n8,1400000,3,0,61#1,4623#5#0,888#888@307448885#46562,
out_place_n8,1500000,3,0,61#1,5551#7#0,1094#1094@382108331#59216,
out_place_n8,1600000,3,0,65#1,6486#9#0,1297#1297@453918052#72798,
out_place_n8,1700000,3,0,73#1,7430#9#0,1499#1499@525378089#87279,
out_place_n8,1800000,3,0,81#1,8352#12#0,1705#1705@597788629#102803,
out_place_n8,1900000,3,0,86#1,9296#12#0,1918#1918@676807418#118522,
out_place_n8,2000000,3,0,86#1,10222#13#0,2146#2146@759787597#136693,
