type,neighbors,seed,initial_size,time
in_place,0,1,100000,1379
out_of_place,0,1,100000,1561
in_place,8,1,100000,30214
out_of_place,8,1,100000,1862
in_place,0,1,300000,10694
out_of_place,0,1,300000,1780
in_place,8,1,300000,60708
out_of_place,8,1,300000,1784
in_place,0,1,1000000,64467
out_of_place,0,1,1000000,2096
in_place,8,1,1000000,467846
out_of_place,8,1,1000000,1861
in_place,0,2,100000,1263
out_of_place,0,2,100000,1315
in_place,8,2,100000,23168
out_of_place,8,2,100000,1476
in_place,0,2,300000,4545
out_of_place,0,2,300000,2214
in_place,8,2,300000,103941
out_of_place,8,2,300000,1961
in_place,0,2,1000000,9993
out_of_place,0,2,1000000,1660
in_place,8,2,1000000,266709
out_of_place,8,2,1000000,1670
in_place,0,3,100000,1829
out_of_place,0,3,100000,2059
in_place,8,3,100000,24246
out_of_place,8,3,100000,1888
in_place,0,3,300000,14892
out_of_place,0,3,300000,1819
in_place,8,3,300000,106447
out_of_place,8,3,300000,1898
in_place,0,3,1000000,13082
out_of_place,0,3,1000000,1881
in_place,8,3,1000000,222125
out_of_place,8,3,1000000,1948
