name,data_size,seed,time
out_place_b32,10000,1,6429
out_place_b64,10000,1,3910
out_place_b128,10000,1,2698
out_place_b256,10000,1,2179
out_place_b512,10000,1,1922
out_place_b1024,10000,1,1738
baseline,10000,1,5
out_place_b32,10000,2,5646
out_place_b64,10000,2,3589
out_place_b128,10000,2,2562
out_place_b256,10000,2,2112
out_place_b512,10000,2,1818
out_place_b1024,10000,2,1711
baseline,10000,2,5
out_place_b32,10000,3,5936
out_place_b64,10000,3,3827
out_place_b128,10000,3,2803
out_place_b256,10000,3,2237
out_place_b512,10000,3,2002
out_place_b1024,10000,3,1831
baseline,10000,3,4
out_place_b32,100000,1,7888
out_place_b64,100000,1,5109
out_place_b128,100000,1,3413
out_place_b256,100000,1,2754
out_place_b512,100000,1,2406
out_place_b1024,100000,1,2210
baseline,100000,1,15
out_place_b32,100000,2,8712
out_place_b64,100000,2,5461
out_place_b128,100000,2,3796
out_place_b256,100000,2,3055
out_place_b512,100000,2,2552
out_place_b1024,100000,2,2424
baseline,100000,2,16
out_place_b32,100000,3,12416
out_place_b64,100000,3,7955
out_place_b128,100000,3,5541
out_place_b256,100000,3,4416
out_place_b512,100000,3,3921
out_place_b1024,100000,3,3636
baseline,100000,3,15
out_place_b32,300000,1,10390
out_place_b64,300000,1,6295
out_place_b128,300000,1,4157
out_place_b256,300000,1,3070
out_place_b512,300000,1,2784
out_place_b1024,300000,1,2584
baseline,300000,1,43
out_place_b32,300000,2,10996
out_place_b64,300000,2,6753
out_place_b128,300000,2,4416
out_place_b256,300000,2,3406
out_place_b512,300000,2,2884
out_place_b1024,300000,2,2464
baseline,300000,2,45
out_place_b32,300000,3,15859
out_place_b64,300000,3,9677
out_place_b128,300000,3,6569
out_place_b256,300000,3,5030
out_place_b512,300000,3,4354
out_place_b1024,300000,3,3921
baseline,300000,3,41
out_place_b32,1000000,1,14386
out_place_b64,1000000,1,8945
out_place_b128,1000000,1,6141
out_place_b256,1000000,1,4979
out_place_b512,1000000,1,4215
out_place_b1024,1000000,1,3955
baseline,1000000,1,152
out_place_b32,1000000,2,17381
out_place_b64,1000000,2,10881
out_place_b128,1000000,2,7689
out_place_b256,1000000,2,7417
out_place_b512,1000000,2,5928
out_place_b1024,1000000,2,5421
baseline,1000000,2,142
out_place_b32,1000000,3,18185
out_place_b64,1000000,3,11644
out_place_b128,1000000,3,7204
out_place_b256,1000000,3,5534
out_place_b512,1000000,3,4868
out_place_b1024,1000000,3,4699
baseline,1000000,3,138
out_place_b32,3000000,1,24400
out_place_b64,3000000,1,16578
out_place_b128,3000000,1,12285
out_place_b256,3000000,1,9572
out_place_b512,3000000,1,8297
out_place_b1024,3000000,1,7224
baseline,3000000,1,436
out_place_b32,3000000,2,27002
out_place_b64,3000000,2,16333
out_place_b128,3000000,2,11597
out_place_b256,3000000,2,7687
out_place_b512,3000000,2,7118
out_place_b1024,3000000,2,6441
baseline,3000000,2,480
out_place_b32,3000000,3,22780
out_place_b64,3000000,3,14370
out_place_b128,3000000,3,9235
out_place_b256,3000000,3,6996
out_place_b512,3000000,3,5975
out_place_b1024,3000000,3,5546
baseline,3000000,3,412
out_place_b32,10000000,1,37619
out_place_b64,10000000,1,20710
out_place_b128,10000000,1,12893
out_place_b256,10000000,1,10305
out_place_b512,10000000,1,7165
out_place_b1024,10000000,1,5765
baseline,10000000,1,1470
out_place_b32,10000000,2,34932
out_place_b64,10000000,2,20226
out_place_b128,10000000,2,12866
out_place_b256,10000000,2,9036
out_place_b512,10000000,2,7159
out_place_b1024,10000000,2,5844
baseline,10000000,2,1505
out_place_b32,10000000,3,34971
out_place_b64,10000000,3,20556
out_place_b128,10000000,3,13105
out_place_b256,10000000,3,8960
out_place_b512,10000000,3,7285
out_place_b1024,10000000,3,5575
baseline,10000000,3,1481
out_place_b32,30000000,1,75186
out_place_b64,30000000,1,37413
out_place_b128,30000000,1,20999
out_place_b256,30000000,1,11266
out_place_b512,30000000,1,6979
out_place_b1024,30000000,1,6210
baseline,30000000,1,5002
out_place_b32,30000000,2,73652
out_place_b64,30000000,2,36678
out_place_b128,30000000,2,20390
out_place_b256,30000000,2,10623
out_place_b512,30000000,2,5856
out_place_b1024,30000000,2,5611
baseline,30000000,2,4645
out_place_b32,30000000,3,73006
out_place_b64,30000000,3,35814
out_place_b128,30000000,3,19505
out_place_b256,30000000,3,10867
out_place_b512,30000000,3,6189
out_place_b1024,30000000,3,5555
baseline,30000000,3,4640
