Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 15.94      0.22     0.22 212780660     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<unsigned int, unsigned int> const*, std::vector<std::pair<unsigned int, unsigned int>, std::allocator<std::pair<unsigned int, unsigned int> > > >::base() const
 12.68      0.40     0.18 101331825     0.00     0.00  bool __gnu_cxx::operator!=<std::pair<unsigned int, unsigned int> const*, std::vector<std::pair<unsigned int, unsigned int>, std::allocator<std::pair<unsigned int, unsigned int> > > >(__gnu_cxx::__normal_iterator<std::pair<unsigned int, unsigned int> const*, std::vector<std::pair<unsigned int, unsigned int>, std::allocator<std::pair<unsigned int, unsigned int> > > > const&, __gnu_cxx::__normal_iterator<std::pair<unsigned int, unsigned int> const*, std::vector<std::pair<unsigned int, unsigned int>, std::allocator<std::pair<unsigned int, unsigned int> > > > const&)
 11.23      0.55     0.16 100020000     0.00     0.00  void std::_Construct<std::pair<unsigned int, unsigned int>, std::pair<unsigned int, unsigned int> const&>(std::pair<unsigned int, unsigned int>*, std::pair<unsigned int, unsigned int> const&)
  7.97      0.66     0.11    20004     0.00     0.00  std::pair<unsigned int, unsigned int>* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<std::pair<unsigned int, unsigned int> const*, std::vector<std::pair<unsigned int, unsigned int>, std::allocator<std::pair<unsigned int, unsigned int> > > >, std::pair<unsigned int, unsigned int>*>(__gnu_cxx::__normal_iterator<std::pair<unsigned int, unsigned int> const*, std::vector<std::pair<unsigned int, unsigned int>, std::allocator<std::pair<unsigned int, unsigned int> > > >, __gnu_cxx::__normal_iterator<std::pair<unsigned int, unsigned int> const*, std::vector<std::pair<unsigned int, unsigned int>, std::allocator<std::pair<unsigned int, unsigned int> > > >, std::pair<unsigned int, unsigned int>*)
  6.88      0.76     0.10 100046383     0.00     0.00  std::pair<unsigned int, unsigned int>* std::__addressof<std::pair<unsigned int, unsigned int> >(std::pair<unsigned int, unsigned int>&)
  6.16      0.84     0.09 100020000     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<unsigned int, unsigned int> const*, std::vector<std::pair<unsigned int, unsigned int>, std::allocator<std::pair<unsigned int, unsigned int> > > >::operator++()
  5.80      0.92     0.08 101255854     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<unsigned int, unsigned int> const*, std::vector<std::pair<unsigned int, unsigned int>, std::allocator<std::pair<unsigned int, unsigned int> > > >::operator*() const
  5.43      1.00     0.08 100060015     0.00     0.00  std::pair<unsigned int, unsigned int> const& std::forward<std::pair<unsigned int, unsigned int> const&>(std::remove_reference<std::pair<unsigned int, unsigned int> const&>::type&)
  4.35      1.06     0.06 100088196     0.00     0.00  operator new(unsigned long, void*)
  3.62      1.11     0.05        1     0.05     0.05  std::__lg(long)
  2.17      1.14     0.03  1235854     0.00     0.00  pgm::BufferedPGMIndex<unsigned int, unsigned int>::Iterator::operator==(pgm::BufferedPGMIndex<unsigned int, unsigned int>::Iterator const&) const
  1.81      1.16     0.03 11531430     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<unsigned int, unsigned int> const*, std::vector<std::pair<unsigned int, unsigned int>, std::allocator<std::pair<unsigned int, unsigned int> > > >::__normal_iterator(std::pair<unsigned int, unsigned int> const* const&)
  1.81      1.19     0.03  1300000     0.00     0.00  pgm::BufferedPGMIndex<unsigned int, unsigned int>::begin() const
  1.45      1.21     0.02 10123424     0.00     0.00  __gnu_cxx::__normal_iterator<pgm::BufferedPGMIndex<unsigned int, unsigned int>::Segment const*, std::vector<pgm::BufferedPGMIndex<unsigned int, unsigned int>::Segment, std::allocator<pgm::BufferedPGMIndex<unsigned int, unsigned int>::Segment> > >::base() const
  1.45      1.23     0.02  5081712     0.00     0.00  std::vector<std::pair<unsigned int, unsigned int>, std::allocator<std::pair<unsigned int, unsigned int> > >::end() const
  1.09      1.24     0.02  5061708     0.00     0.00  bool __gnu_cxx::operator==<pgm::BufferedPGMIndex<unsigned int, unsigned int>::Segment const*, std::vector<pgm::BufferedPGMIndex<unsigned int, unsigned int>::Segment, std::allocator<pgm::BufferedPGMIndex<unsigned int, unsigned int>::Segment> > >(__gnu_cxx::__normal_iterator<pgm::BufferedPGMIndex<unsigned int, unsigned int>::Segment const*, std::vector<pgm::BufferedPGMIndex<unsigned int, unsigned int>::Segment, std::allocator<pgm::BufferedPGMIndex<unsigned int, unsigned int>::Segment> > > const&, __gnu_cxx::__normal_iterator<pgm::BufferedPGMIndex<unsigned int, unsigned int>::Segment const*, std::vector<pgm::BufferedPGMIndex<unsigned int, unsigned int>::Segment, std::allocator<pgm::BufferedPGMIndex<unsigned int, unsigned int>::Segment> > > const&)
  1.09      1.26     0.02  2525854     0.00     0.00  pgm::BufferedPGMIndex<unsigned int, unsigned int>::Iterator::advance()
  1.09      1.27     0.02  1300000     0.00     0.00  pgm::BufferedPGMIndex<unsigned int, unsigned int>::Iterator::go_back()
  1.09      1.29     0.02                             std::less<char const*>::operator()(char const* const&, char const* const&) const
  0.72      1.30     0.01  7691708     0.00     0.00  pgm::BufferedPGMIndex<unsigned int, unsigned int>::Iterator::Cursor::Cursor()
