type,seed,num_inserts,time
in_place,1,0,0
in_place,1,1000,280
in_place,1,2000,252
in_place,1,3000,477
in_place,1,4000,697
in_place,1,5000,646
in_place,1,6000,767
in_place,1,7000,812
in_place,1,8000,599
in_place,1,9000,693
in_place,1,10000,775
in_place,1,11000,778
in_place,1,12000,530
in_place,1,13000,668
in_place,1,14000,892
in_place,1,15000,566
in_place,1,16000,668
in_place,1,17000,733
in_place,1,18000,542
in_place,1,19000,585
in_place,1,20000,891
in_place,1,21000,668
in_place,1,22000,580
in_place,1,23000,689
in_place,1,24000,879
in_place,1,25000,642
in_place,1,26000,568
in_place,1,27000,684
in_place,1,28000,556
in_place,1,29000,546
in_place,1,30000,697
in_place,1,31000,724
in_place,1,32000,559
in_place,1,33000,674
in_place,1,34000,776
in_place,1,35000,681
in_place,1,36000,606
in_place,1,37000,647
in_place,1,38000,538
in_place,1,39000,747
in_place,1,40000,815
in_place,1,41000,663
in_place,1,42000,825
in_place,1,43000,808
in_place,1,44000,685
in_place,1,45000,746
in_place,1,46000,583
in_place,1,47000,617
in_place,1,48000,697
in_place,1,49000,739
in_place,1,50000,597
in_place,1,51000,784
in_place,1,52000,567
in_place,1,53000,840
in_place,1,54000,650
in_place,1,55000,511
in_place,1,56000,723
in_place,1,57000,710
in_place,1,58000,645
in_place,1,59000,734
in_place,1,60000,648
in_place,1,61000,654
in_place,1,62000,682
in_place,1,63000,670
in_place,1,64000,551
in_place,1,65000,657
in_place,1,66000,666
in_place,1,67000,740
in_place,1,68000,653
in_place,1,69000,520
in_place,1,70000,708
in_place,1,71000,769
in_place,1,72000,606
in_place,1,73000,711
in_place,1,74000,459
in_place,1,75000,617
in_place,1,76000,619
in_place,1,77000,772
in_place,1,78000,540
in_place,1,79000,745
in_place,1,80000,634
in_place,1,81000,646
in_place,1,82000,880
in_place,1,83000,539
in_place,1,84000,737
in_place,1,85000,619
in_place,1,86000,658
in_place,1,87000,465
in_place,1,88000,719
in_place,1,89000,534
in_place,1,90000,709
in_place,1,91000,609
in_place,1,92000,576
in_place,1,93000,810
in_place,1,94000,637
in_place,1,95000,619
in_place,1,96000,940
in_place,1,97000,498
in_place,1,98000,499
in_place,1,99000,600
in_place,1,100000,703
out_of_place,1,0,0
out_of_place,1,1000,214
out_of_place,1,2000,238
out_of_place,1,3000,203
out_of_place,1,4000,198
out_of_place,1,5000,204
out_of_place,1,6000,179
out_of_place,1,7000,220
out_of_place,1,8000,203
out_of_place,1,9000,199
out_of_place,1,10000,204
out_of_place,1,11000,211
out_of_place,1,12000,200
out_of_place,1,13000,198
out_of_place,1,14000,207
out_of_place,1,15000,212
out_of_place,1,16000,195
out_of_place,1,17000,207
out_of_place,1,18000,208
out_of_place,1,19000,246
out_of_place,1,20000,238
out_of_place,1,21000,262
out_of_place,1,22000,222
out_of_place,1,23000,209
out_of_place,1,24000,268
out_of_place,1,25000,231
out_of_place,1,26000,208
out_of_place,1,27000,266
out_of_place,1,28000,396
out_of_place,1,29000,258
out_of_place,1,30000,203
out_of_place,1,31000,232
out_of_place,1,32000,244
out_of_place,1,33000,231
out_of_place,1,34000,337
out_of_place,1,35000,312
out_of_place,1,36000,218
out_of_place,1,37000,268
out_of_place,1,38000,250
out_of_place,1,39000,218
out_of_place,1,40000,257
out_of_place,1,41000,247
out_of_place,1,42000,364
out_of_place,1,43000,240
out_of_place,1,44000,257
out_of_place,1,45000,240
out_of_place,1,46000,208
out_of_place,1,47000,285
out_of_place,1,48000,216
out_of_place,1,49000,380
out_of_place,1,50000,375
out_of_place,1,51000,276
out_of_place,1,52000,274
out_of_place,1,53000,244
out_of_place,1,54000,189
out_of_place,1,55000,267
out_of_place,1,56000,276
out_of_place,1,57000,180
out_of_place,1,58000,235
out_of_place,1,59000,344
out_of_place,1,60000,250
out_of_place,1,61000,227
out_of_place,1,62000,271
out_of_place,1,63000,327
out_of_place,1,64000,219
out_of_place,1,65000,183
out_of_place,1,66000,242
out_of_place,1,67000,238
out_of_place,1,68000,211
out_of_place,1,69000,253
out_of_place,1,70000,313
out_of_place,1,71000,338
out_of_place,1,72000,285
out_of_place,1,73000,298
out_of_place,1,74000,252
out_of_place,1,75000,234
out_of_place,1,76000,283
out_of_place,1,77000,232
out_of_place,1,78000,257
out_of_place,1,79000,273
out_of_place,1,80000,201
out_of_place,1,81000,372
out_of_place,1,82000,309
out_of_place,1,83000,366
out_of_place,1,84000,281
out_of_place,1,85000,251
out_of_place,1,86000,275
out_of_place,1,87000,273
out_of_place,1,88000,231
out_of_place,1,89000,262
out_of_place,1,90000,224
out_of_place,1,91000,285
out_of_place,1,92000,318
out_of_place,1,93000,209
out_of_place,1,94000,231
out_of_place,1,95000,192
out_of_place,1,96000,273
out_of_place,1,97000,214
out_of_place,1,98000,286
out_of_place,1,99000,282
out_of_place,1,100000,247
in_place,2,0,0
in_place,2,1000,268
in_place,2,2000,291
in_place,2,3000,347
in_place,2,4000,798
in_place,2,5000,701
in_place,2,6000,819
in_place,2,7000,959
in_place,2,8000,843
in_place,2,9000,674
in_place,2,10000,708
in_place,2,11000,867
in_place,2,12000,1034
in_place,2,13000,631
in_place,2,14000,641
in_place,2,15000,605
in_place,2,16000,717
in_place,2,17000,1196
in_place,2,18000,649
in_place,2,19000,653
in_place,2,20000,674
in_place,2,21000,701
in_place,2,22000,983
in_place,2,23000,1031
in_place,2,24000,728
in_place,2,25000,524
in_place,2,26000,690
in_place,2,27000,541
in_place,2,28000,597
in_place,2,29000,688
in_place,2,30000,660
in_place,2,31000,753
in_place,2,32000,580
in_place,2,33000,680
in_place,2,34000,662
in_place,2,35000,772
in_place,2,36000,616
in_place,2,37000,665
in_place,2,38000,494
in_place,2,39000,546
in_place,2,40000,632
in_place,2,41000,574
in_place,2,42000,694
in_place,2,43000,636
in_place,2,44000,620
in_place,2,45000,677
in_place,2,46000,537
in_place,2,47000,697
in_place,2,48000,705
in_place,2,49000,556
in_place,2,50000,681
in_place,2,51000,531
in_place,2,52000,740
in_place,2,53000,385
in_place,2,54000,671
in_place,2,55000,774
in_place,2,56000,536
in_place,2,57000,469
in_place,2,58000,722
in_place,2,59000,578
in_place,2,60000,737
in_place,2,61000,612
in_place,2,62000,586
in_place,2,63000,504
in_place,2,64000,608
in_place,2,65000,694
in_place,2,66000,643
in_place,2,67000,520
in_place,2,68000,587
in_place,2,69000,512
in_place,2,70000,788
in_place,2,71000,699
in_place,2,72000,502
in_place,2,73000,772
in_place,2,74000,499
in_place,2,75000,574
in_place,2,76000,435
in_place,2,77000,738
in_place,2,78000,602
in_place,2,79000,526
in_place,2,80000,724
in_place,2,81000,663
in_place,2,82000,730
in_place,2,83000,586
in_place,2,84000,602
in_place,2,85000,541
in_place,2,86000,527
in_place,2,87000,554
in_place,2,88000,716
in_place,2,89000,668
in_place,2,90000,540
in_place,2,91000,641
in_place,2,92000,713
in_place,2,93000,670
in_place,2,94000,645
in_place,2,95000,619
in_place,2,96000,560
in_place,2,97000,576
in_place,2,98000,577
in_place,2,99000,675
in_place,2,100000,682
out_of_place,2,0,0
out_of_place,2,1000,205
out_of_place,2,2000,231
out_of_place,2,3000,224
out_of_place,2,4000,188
out_of_place,2,5000,180
out_of_place,2,6000,186
out_of_place,2,7000,179
out_of_place,2,8000,183
out_of_place,2,9000,184
out_of_place,2,10000,215
out_of_place,2,11000,192
out_of_place,2,12000,200
out_of_place,2,13000,190
out_of_place,2,14000,194
out_of_place,2,15000,182
out_of_place,2,16000,185
out_of_place,2,17000,224
out_of_place,2,18000,187
out_of_place,2,19000,183
out_of_place,2,20000,186
out_of_place,2,21000,187
out_of_place,2,22000,250
out_of_place,2,23000,207
out_of_place,2,24000,194
out_of_place,2,25000,198
out_of_place,2,26000,239
out_of_place,2,27000,303
out_of_place,2,28000,250
out_of_place,2,29000,212
out_of_place,2,30000,235
out_of_place,2,31000,226
out_of_place,2,32000,294
out_of_place,2,33000,256
out_of_place,2,34000,249
out_of_place,2,35000,208
out_of_place,2,36000,229
out_of_place,2,37000,199
out_of_place,2,38000,257
out_of_place,2,39000,251
out_of_place,2,40000,268
out_of_place,2,41000,287
out_of_place,2,42000,220
out_of_place,2,43000,266
out_of_place,2,44000,207
out_of_place,2,45000,208
out_of_place,2,46000,216
out_of_place,2,47000,230
out_of_place,2,48000,239
out_of_place,2,49000,292
out_of_place,2,50000,248
out_of_place,2,51000,275
out_of_place,2,52000,193
out_of_place,2,53000,319
out_of_place,2,54000,301
out_of_place,2,55000,178
out_of_place,2,56000,217
out_of_place,2,57000,273
out_of_place,2,58000,199
out_of_place,2,59000,212
out_of_place,2,60000,260
out_of_place,2,61000,198
out_of_place,2,62000,290
out_of_place,2,63000,242
out_of_place,2,64000,233
out_of_place,2,65000,283
out_of_place,2,66000,265
out_of_place,2,67000,256
out_of_place,2,68000,246
out_of_place,2,69000,215
out_of_place,2,70000,174
out_of_place,2,71000,202
out_of_place,2,72000,209
out_of_place,2,73000,224
out_of_place,2,74000,197
out_of_place,2,75000,225
out_of_place,2,76000,239
out_of_place,2,77000,183
out_of_place,2,78000,203
out_of_place,2,79000,201
out_of_place,2,80000,240
out_of_place,2,81000,250
out_of_place,2,82000,286
out_of_place,2,83000,211
out_of_place,2,84000,233
out_of_place,2,85000,283
out_of_place,2,86000,223
out_of_place,2,87000,204
out_of_place,2,88000,238
out_of_place,2,89000,189
out_of_place,2,90000,232
out_of_place,2,91000,200
out_of_place,2,92000,234
out_of_place,2,93000,309
