type,seed,data_size,time
in_place,1,1000,1305
out_of_place,1,1000,704
in_place,1,10000,1651
out_of_place,1,10000,863
in_place,1,100000,2964
out_of_place,1,100000,1627
in_place,1,300000,3533
out_of_place,1,300000,1884
in_place,1,1000000,5872
out_of_place,1,1000000,1977
in_place,1,3000000,5821
out_of_place,1,3000000,2196
in_place,1,10000000,3139
out_of_place,1,10000000,2339
in_place,1,30000000,3267
out_of_place,1,30000000,2270
in_place,1,100000000,4983
out_of_place,1,100000000,3690
in_place,2,1000,816
out_of_place,2,1000,893
in_place,2,10000,1308
out_of_place,2,10000,1736
in_place,2,100000,3191
out_of_place,2,100000,2021
in_place,2,300000,3996
out_of_place,2,300000,2083
in_place,2,1000000,5074
out_of_place,2,1000000,1747
in_place,2,3000000,6004
out_of_place,2,3000000,2435
in_place,2,10000000,3292
out_of_place,2,10000000,2320
in_place,2,30000000,3409
out_of_place,2,30000000,2423
in_place,2,100000000,5137
out_of_place,2,100000000,2867
in_place,3,1000,1380
out_of_place,3,1000,788
in_place,3,10000,2172
out_of_place,3,10000,1798
in_place,3,100000,3131
out_of_place,3,100000,2908
in_place,3,300000,3745
out_of_place,3,300000,2040
in_place,3,1000000,5928
out_of_place,3,1000000,2017
in_place,3,3000000,4868
out_of_place,3,3000000,2354
in_place,3,10000000,3134
out_of_place,3,10000000,2265
in_place,3,30000000,3409
out_of_place,3,30000000,2355
in_place,3,100000000,3901
out_of_place,3,100000000,2498
