name,seed,trial,write_prop,time,size
inplace_n0,1,0,0,4578,16240
inplace_n4,1,0,0,4488,16240
outplace_n0,1,0,0,4070,16248
outplace_n4,1,0,0,4086,16248
inplace_n0,1,0,0.1,4432,16240
inplace_n4,1,0,0.1,4362,16240
outplace_n0,1,0,0.1,4027,16248
outplace_n4,1,0,0.1,4103,16248
inplace_n0,1,0,0.2,4527,16240
inplace_n4,1,0,0.2,5027,16240
outplace_n0,1,0,0.2,4332,16248
outplace_n4,1,0,0.2,4882,16248
inplace_n0,1,0,0.3,5214,16240
inplace_n4,1,0,0.3,4935,16240
outplace_n0,1,0,0.3,4652,16248
outplace_n4,1,0,0.3,4597,16248
inplace_n0,2,0,0,4853,16160
inplace_n4,2,0,0,4847,16160
outplace_n0,2,0,0,4627,16168
outplace_n4,2,0,0,4608,16168
inplace_n0,2,0,0.1,4872,16160
inplace_n4,2,0,0.1,4901,16160
outplace_n0,2,0,0.1,4872,16168
outplace_n4,2,0,0.1,5434,16168
inplace_n0,2,0,0.2,5008,16160
inplace_n4,2,0,0.2,4980,16160
outplace_n0,2,0,0.2,4740,16168
outplace_n4,2,0,0.2,4635,16168
inplace_n0,2,0,0.3,4870,16160
inplace_n4,2,0,0.3,5133,16160
outplace_n0,2,0,0.3,4770,16168
outplace_n4,2,0,0.3,4870,16168
inplace_n0,3,0,0,5306,16560
inplace_n4,3,0,0,5598,16560
outplace_n0,3,0,0,4592,16568
outplace_n4,3,0,0,5181,16568
inplace_n0,3,0,0.1,5503,16560
inplace_n4,3,0,0.1,5175,16560
outplace_n0,3,0,0.1,4724,16568
outplace_n4,3,0,0.1,4693,16568
inplace_n0,3,0,0.2,4903,16560
inplace_n4,3,0,0.2,4850,16560
outplace_n0,3,0,0.2,4596,16568
outplace_n4,3,0,0.2,4650,16568
inplace_n0,3,0,0.3,4936,16560
inplace_n4,3,0,0.3,4970,16560
outplace_n0,3,0,0.3,5102,16568
outplace_n4,3,0,0.3,4705,16568
