type,seed,num_inserts,max_val,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19
in_place,6,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
in_place,6,500,10500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
in_place,6,1000,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
in_place,6,1500,11500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
in_place,6,2000,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
in_place,6,2500,12500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
in_place,6,3000,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
in_place,6,3500,7114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
in_place,6,4000,7354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
in_place,6,4500,7600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
in_place,6,5000,7877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
in_place,6,5500,8083,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
in_place,6,6000,8282,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
in_place,6,6500,8514,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
in_place,6,7000,8762,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
in_place,6,7500,9000,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
in_place,6,8000,9243,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
in_place,6,8500,9515,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
in_place,6,9000,9768,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
in_place,6,9500,10032,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
in_place,6,10000,10271,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
out_of_place,6,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
