type,seed,data_size,time
in_place,1,1000,1265
out_of_place,1,1000,642
in_place,1,10000,1520
out_of_place,1,10000,854
in_place,1,100000,2760
out_of_place,1,100000,1542
in_place,1,300000,3410
out_of_place,1,300000,1757
in_place,1,1000000,5663
out_of_place,1,1000000,2113
in_place,1,3000000,5604
out_of_place,1,3000000,2158
in_place,1,10000000,3173
out_of_place,1,10000000,2269
in_place,1,30000000,3677
out_of_place,1,30000000,2556
in_place,2,1000,852
out_of_place,2,1000,805
in_place,2,10000,984
out_of_place,2,10000,1196
in_place,2,100000,2139
out_of_place,2,100000,1388
in_place,2,300000,3993
out_of_place,2,300000,2240
in_place,2,1000000,5424
out_of_place,2,1000000,1890
in_place,2,3000000,6102
out_of_place,2,3000000,2212
in_place,2,10000000,2891
out_of_place,2,10000000,2275
in_place,2,30000000,4554
out_of_place,2,30000000,2893
in_place,3,1000,1389
out_of_place,3,1000,902
in_place,3,10000,2445
out_of_place,3,10000,1919
in_place,3,100000,3797
out_of_place,3,100000,2201
in_place,3,300000,3955
out_of_place,3,300000,1928
in_place,3,1000000,5426
out_of_place,3,1000000,1957
in_place,3,3000000,4753
out_of_place,3,3000000,2060
in_place,3,10000000,2771
out_of_place,3,10000000,2041
in_place,3,30000000,3357
out_of_place,3,30000000,2370
